species,M,,FecundityMax,tm,AgeMatMin,,species,TempPreferred,TempPref50,TempMin,TempMax,range,,species,FBname,homerange,habitat,measure
,,,,,,,,,,,,,,Plectropomus leopardus,NA,NA,NA,NA
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0104584,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0187969,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,NA,NA,NA
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0104584,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0187969,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,NA,NA,NA
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0104584,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0187969,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,NA,NA,NA
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0104584,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0187969,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,NA,NA,NA
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0104584,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0187969,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,NA,NA,NA
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0104584,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,0.0187969,NA,km^2
,,,,,,,,,,,,,,Plectropomus leopardus,NA,NA,NA,NA
,,,,,,,,,,,,,,Scarus rivulatus,NA,NA,NA,NA
,,,,,,,,,,,,,,Sebastes miniatus,NA,0.013,NA,km^2
,,,,,,,,,,,,,,Semicossyphus pulcher,NA,0.015134,NA,km^2
,,,,,,,,,,,,,,Semicossyphus pulcher,NA,0.015134,NA,km^2
,,,,,,,,,,,,,,Semicossyphus pulcher,NA,0.015134,NA,km^2
,,,,,,,,,,,,,,Semicossyphus pulcher,NA,0.015134,NA,km^2
,,,,,,,,,,,,,,Semicossyphus pulcher,NA,0.015134,NA,km^2
,,,,,,,,,,,,,,Semicossyphus pulcher,NA,0.015134,NA,km^2
,,,,,,,,,,,,,,Semicossyphus pulcher,NA,0.015134,NA,km^2
,,,,,,,,,,,,,,Strombus gigas,NA,0.011031,NA,km^2
,,,,,,,,,,,,,,Aliger gigas,NA,0.011031,NA,km^2
,,,,,,,,,,,,,,Sepia apama,NA,0.01566,NA,km^2
,,,,,,,,,,,,,,Homarus gammarus,NA,0.019879,NA,km^2
,,,,,,,,,,,,,,Parupeneus porhyreus,NA,NA,NA,NA
,,,,,,,,,,,,,,Naso  unicornis,NA,NA,NA,NA
,,,,,,,,,,,,,,Acanthurus chirugus,NA,NA,NA,NA
,,,,,,,,,,,,,,Epinehpelus guttatus,NA,NA,NA,NA
,,,,,,,,,,,,,,Parupeneus porhyreus,NA,NA,NA,NA
,,,,,,,,,,,,,,Holocanthus tricolor,NA,NA,NA,NA
,,,,,,,,,,,,,,Alosa pseudoharengus,Alewife,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,Elongate ilisha,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,European pilchard,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,West African Spanish mackerel,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,Hilsa shad,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa toli,Toli shad,0.014793647,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,NA,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa toli,NA,0.014793647,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,NA,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa toli,NA,0.014793647,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,NA,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa toli,NA,0.014793647,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Alosa pseudoharengus,NA,0.010435999,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,NA,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,NA,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,NA,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,NA,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,NA,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,NA,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Ilisha elongata,NA,0.015382588,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Sardina pilchardus,NA,0.014253499,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Scomberomorus tritor,NA,0.010987212,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa ilisha,NA,0.021477935,pelagic-neritic,km^2
,,,,,,,,,,,,,,Tenualosa toli,NA,0.014793647,pelagic-neritic,km^2
,,,,,,,,,,,,,,Mallotus villosus,Capelin,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,Rainbow smelt,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Mallotus villosus,NA,0.020116579,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Osmerus mordax,NA,0.018739811,pelagic-oceanic,km^2
,,,,,,,,,,,,,,Alepes djedaba,Shrimp scad,0.010019758,reef-associated,km^2
,,,,,,,,,,,,,,Balistes capriscus,Grey triggerfish,0.015525038,reef-associated,km^2
,,,,,,,,,,,,,,Carangoides bajad,Orangespotted trevally,0.016765307,reef-associated,km^2
,,,,,,,,,,,,,,Carangoides fulvoguttatus,Yellowspotted trevally,0.011848388,reef-associated,km^2
,,,,,,,,,,,,,,Carangoides malabaricus,Malabar trevally,0.015119316,reef-associated,km^2
,,,,,,,,,,,,,,Caranx ruber,Bar jack,0.011560514,reef-associated,km^2
,,,,,,,,,,,,,,Epinephelus marginatus,Dusky grouper,0.017629419,reef-associated,km^2
,,,,,,,,,,,,,,Hemiramphus balao,Balao halfbeak,0.017580801,reef-associated,km^2
,,,,,,,,,,,,,,Lethrinus harak,Thumbprint emperor,0.015729701,reef-associated,km^2
,,,,,,,,,,,,,,Mycteroperca phenax,Scamp,0.013206633,reef-associated,km^2
,,,,,,,,,,,,,,Naucrates ductor,Pilotfish,0.020247432,reef-associated,km^2
,,,,,,,,,,,,,,Opisthonema oglinum,Atlantic thread herring,0.018921387,reef-associated,km^2
,,,,,,,,,,,,,,Parastromateus niger,Black pomfret,0.02109961,reef-associated,km^2
,,,,,,,,,,,,,,Plectorhinchus sordidus,Sordid rubberlip,0.015854755,reef-associated,km^2
,,,,,,,,,,,,,,Scomberoides commersonnianus,Talang queenfish,0.017301389,reef-associated,km^2
,,,,,,,,,,,,,,Scomberoides lysan,Doublespotted queenfish,0.017289394,reef-associated,km^2
,,,,,,,,,,,,,,Tautogolabrus adspersus,Cunner,0.014772144,reef-associated,km^2
,,,,,,,,,,,,,,Trachinotus blochii,Snubnose pompano,0.016091273,reef-associated,km^2
,,,,,,,,,,,,,,Alepes djedaba,NA,0.010019758,reef-associated,km^2
,,,,,,,,,,,,,,Balistes capriscus,NA,0.015525038,reef-associated,km^2
,,,,,,,,,,,,,,Carangoides bajad,NA,0.016765307,reef-associated,km^2
,#NAME?,,,,,,,,,,,,,Carangoides fulvoguttatus,NA,0.011848388,reef-associated,km^2
,,,,,,,,,,,,,,Carangoides malabaricus,NA,0.015119316,reef-associated,km^2
,,,,,,,,,,,,,,Caranx ruber,NA,0.011560514,reef-associated,km^2
,,,,,,,,,,,,,,Epinephelus marginatus,NA,0.017629419,reef-associated,km^2
,,,,,,,,,,,,,,Hemiramphus balao,NA,0.017580801,reef-associated,km^2
,,,,,,,,,,,,,,Lethrinus harak,NA,0.015729701,reef-associated,km^2
,,,,,,,,,,,,,,Mycteroperca phenax,NA,0.013206633,reef-associated,km^2
,,,,,,,,,,,,,,Naucrates ductor,NA,0.020247432,reef-associated,km^2
,,,,,,,,,,,,,,Opisthonema oglinum,NA,0.018921387,reef-associated,km^2
